date,mean temperature (degC),site number,site name,Latitude,Longitude,Locality,State
2008-05-09,23.5,7045,Meekatharra,26.61 °S,118.54 °E,Meekatharra,WA
2008-05-10,22.5,7045,Meekatharra,26.61 °S,118.54 °E,Meekatharra,WA
2008-05-11,22.2,7045,Meekatharra,26.61 °S,118.54 °E,Meekatharra,WA
2008-05-12,23.0,7045,Meekatharra,26.61 °S,118.54 °E,Meekatharra,WA
2008-05-13,20.5,7045,Meekatharra,26.61 °S,118.54 °E,Meekatharra,WA
2008-05-14,17.5,7045,Meekatharra,26.61 °S,118.54 °E,Meekatharra,WA
2008-05-15,14.7,7045,Meekatharra,26.61 °S,118.54 °E,Meekatharra,WA
2008-05-16,16.2,7045,Meekatharra,26.61 °S,118.54 °E,Meekatharra,WA
2008-05-17,16.0,7045,Meekatharra,26.61 °S,118.54 °E,Meekatharra,WA
2008-05-18,16.5,7045,Meekatharra,26.61 °S,118.54 °E,Meekatharra,WA
2008-05-19,17.1,7045,Meekatharra,26.61 °S,118.54 °E,Meekatharra,WA
2008-05-20,18.8,7045,Meekatharra,26.61 °S,118.54 °E,Meekatharra,WA
2008-05-21,19.4,7045,Meekatharra,26.61 °S,118.54 °E,Meekatharra,WA
2008-05-22,17.0,7045,Meekatharra,26.61 °S,118.54 °E,Meekatharra,WA
2008-05-23,16.7,7045,Meekatharra,26.61 °S,118.54 °E,Meekatharra,WA
2008-05-24,14.6,7045,Meekatharra,26.61 °S,118.54 °E,Meekatharra,WA
2008-05-25,16.6,7045,Meekatharra,26.61 °S,118.54 °E,Meekatharra,WA
2008-05-26,19.0,7045,Meekatharra,26.61 °S,118.54 °E,Meekatharra,WA
2008-05-27,20.8,7045,Meekatharra,26.61 °S,118.54 °E,Meekatharra,WA
2008-05-28,20.1,7045,Meekatharra,26.61 °S,118.54 °E,Meekatharra,WA
2008-05-29,20.5,7045,Meekatharra,26.61 °S,118.54 °E,Meekatharra,WA
2008-05-30,20.3,7045,Meekatharra,26.61 °S,118.54 °E,Meekatharra,WA
2008-05-31,20.9,7045,Meekatharra,26.61 °S,118.54 °E,Meekatharra,WA
2008-06-01,20.7,7045,Meekatharra,26.61 °S,118.54 °E,Meekatharra,WA
2008-06-02,20.6,7045,Meekatharra,26.61 °S,118.54 °E,Meekatharra,WA
2008-06-03,19.7,7045,Meekatharra,26.61 °S,118.54 °E,Meekatharra,WA
2008-06-04,17.0,7045,Meekatharra,26.61 °S,118.54 °E,Meekatharra,WA
2008-06-05,15.8,7045,Meekatharra,26.61 °S,118.54 °E,Meekatharra,WA
2008-06-06,14.9,7045,Meekatharra,26.61 °S,118.54 °E,Meekatharra,WA
2008-06-07,13.6,7045,Meekatharra,26.61 °S,118.54 °E,Meekatharra,WA
2008-06-08,15.0,7045,Meekatharra,26.61 °S,118.54 °E,Meekatharra,WA
2008-06-09,14.9,7045,Meekatharra,26.61 °S,118.54 °E,Meekatharra,WA
2008-06-10,14.6,7045,Meekatharra,26.61 °S,118.54 °E,Meekatharra,WA
2008-06-11,12.1,7045,Meekatharra,26.61 °S,118.54 °E,Meekatharra,WA
2008-06-12,12.5,7045,Meekatharra,26.61 °S,118.54 °E,Meekatharra,WA
2008-06-13,12.8,7045,Meekatharra,26.61 °S,118.54 °E,Meekatharra,WA
2008-06-14,15.5,7045,Meekatharra,26.61 °S,118.54 °E,Meekatharra,WA
2008-06-15,17.5,7045,Meekatharra,26.61 °S,118.54 °E,Meekatharra,WA
2008-06-16,15.0,7045,Meekatharra,26.61 °S,118.54 °E,Meekatharra,WA
2008-06-17,12.1,7045,Meekatharra,26.61 °S,118.54 °E,Meekatharra,WA
2008-06-18,12.7,7045,Meekatharra,26.61 °S,118.54 °E,Meekatharra,WA
2008-06-19,13.4,7045,Meekatharra,26.61 °S,118.54 °E,Meekatharra,WA
2008-06-20,13.1,7045,Meekatharra,26.61 °S,118.54 °E,Meekatharra,WA
2008-06-21,13.4,7045,Meekatharra,26.61 °S,118.54 °E,Meekatharra,WA
2008-06-22,13.2,7045,Meekatharra,26.61 °S,118.54 °E,Meekatharra,WA
2008-06-23,15.1,7045,Meekatharra,26.61 °S,118.54 °E,Meekatharra,WA
2008-06-24,16.8,7045,Meekatharra,26.61 °S,118.54 °E,Meekatharra,WA
2008-06-25,14.3,7045,Meekatharra,26.61 °S,118.54 °E,Meekatharra,WA
2008-06-26,17.8,7045,Meekatharra,26.61 °S,118.54 °E,Meekatharra,WA
2008-06-27,20.1,7045,Meekatharra,26.61 °S,118.54 °E,Meekatharra,WA
2008-06-28,17.5,7045,Meekatharra,26.61 °S,118.54 °E,Meekatharra,WA
2008-06-29,13.3,7045,Meekatharra,26.61 °S,118.54 °E,Meekatharra,WA
2008-06-30,14.8,7045,Meekatharra,26.61 °S,118.54 °E,Meekatharra,WA
2008-07-01,15.3,7045,Meekatharra,26.61 °S,118.54 °E,Meekatharra,WA
2008-07-02,17.1,7045,Meekatharra,26.61 °S,118.54 °E,Meekatharra,WA
2008-07-03,16.5,7045,Meekatharra,26.61 °S,118.54 °E,Meekatharra,WA
2008-07-04,13.9,7045,Meekatharra,26.61 °S,118.54 °E,Meekatharra,WA
2008-07-05,13.6,7045,Meekatharra,26.61 °S,118.54 °E,Meekatharra,WA
2008-07-06,12.8,7045,Meekatharra,26.61 °S,118.54 °E,Meekatharra,WA
2008-07-07,11.7,7045,Meekatharra,26.61 °S,118.54 °E,Meekatharra,WA
2008-07-08,15.4,7045,Meekatharra,26.61 °S,118.54 °E,Meekatharra,WA
2008-07-09,16.0,7045,Meekatharra,26.61 °S,118.54 °E,Meekatharra,WA
2008-07-10,16.0,7045,Meekatharra,26.61 °S,118.54 °E,Meekatharra,WA
2008-07-11,14.7,7045,Meekatharra,26.61 °S,118.54 °E,Meekatharra,WA
2008-07-12,11.3,7045,Meekatharra,26.61 °S,118.54 °E,Meekatharra,WA
2008-07-13,10.9,7045,Meekatharra,26.61 °S,118.54 °E,Meekatharra,WA
2008-07-14,12.9,7045,Meekatharra,26.61 °S,118.54 °E,Meekatharra,WA
2008-07-15,13.5,7045,Meekatharra,26.61 °S,118.54 °E,Meekatharra,WA
2008-07-16,16.6,7045,Meekatharra,26.61 °S,118.54 °E,Meekatharra,WA
2008-07-17,15.9,7045,Meekatharra,26.61 °S,118.54 °E,Meekatharra,WA
2008-07-18,17.1,7045,Meekatharra,26.61 °S,118.54 °E,Meekatharra,WA
2008-07-19,10.7,7045,Meekatharra,26.61 °S,118.54 °E,Meekatharra,WA
2008-07-20,8.0,7045,Meekatharra,26.61 °S,118.54 °E,Meekatharra,WA
2008-07-21,10.8,7045,Meekatharra,26.61 °S,118.54 °E,Meekatharra,WA
2008-07-22,11.7,7045,Meekatharra,26.61 °S,118.54 °E,Meekatharra,WA
2008-07-23,13.6,7045,Meekatharra,26.61 °S,118.54 °E,Meekatharra,WA
2008-07-24,14.2,7045,Meekatharra,26.61 °S,118.54 °E,Meekatharra,WA
2008-07-25,19.0,7045,Meekatharra,26.61 °S,118.54 °E,Meekatharra,WA
2008-07-26,19.7,7045,Meekatharra,26.61 °S,118.54 °E,Meekatharra,WA
2008-07-27,19.1,7045,Meekatharra,26.61 °S,118.54 °E,Meekatharra,WA
2008-07-28,20.0,7045,Meekatharra,26.61 °S,118.54 °E,Meekatharra,WA
2008-07-29,15.9,7045,Meekatharra,26.61 °S,118.54 °E,Meekatharra,WA
2008-07-30,16.6,7045,Meekatharra,26.61 °S,118.54 °E,Meekatharra,WA
2008-07-31,12.6,7045,Meekatharra,26.61 °S,118.54 °E,Meekatharra,WA
2008-08-01,11.6,7045,Meekatharra,26.61 °S,118.54 °E,Meekatharra,WA
2008-08-02,14.5,7045,Meekatharra,26.61 °S,118.54 °E,Meekatharra,WA
2008-08-03,12.6,7045,Meekatharra,26.61 °S,118.54 °E,Meekatharra,WA
2008-08-04,12.5,7045,Meekatharra,26.61 °S,118.54 °E,Meekatharra,WA
2008-08-05,12.7,7045,Meekatharra,26.61 °S,118.54 °E,Meekatharra,WA
2008-08-06,12.9,7045,Meekatharra,26.61 °S,118.54 °E,Meekatharra,WA
2008-08-07,14.5,7045,Meekatharra,26.61 °S,118.54 °E,Meekatharra,WA
